,Unnamed: 0,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
3162,8435,8436,18-30,Male,Advanced,1,17,16,2,49,41,1,4,0,B,17,8,24,10,9,R
3175,86470,86471,18-30,Male,Advanced,11,27,12,45,29,1,48,9,3,C,12,11,1,5,15,R
3177,9022,9023,18-30,Male,Advanced,6,10,10,80,34,90,11,0,4,A,11,13,14,9,30,R
3178,4176,4177,18-30,Male,Advanced,6,25,7,30,8,47,16,9,0,B,13,17,6,6,15,R
3181,13951,13952,18-30,Male,Advanced,10,6,4,60,85,82,85,3,1,A,16,8,17,16,16,R
3185,99592,99593,18-30,Male,Advanced,1,24,18,82,31,59,100,5,4,C,14,36,21,4,25,R
3191,14560,14561,18-30,Male,Advanced,2,29,19,74,31,43,43,0,0,C,9,14,7,3,29,R
3193,14566,14567,18-30,Male,Advanced,9,28,7,47,72,56,13,4,2,C,6,32,1,9,2,R
3198,87151,87152,18-30,Male,Advanced,19,9,2,42,2,70,22,3,4,A,0,27,21,6,29,R
3200,86128,86129,18-30,Male,Advanced,15,24,5,80,92,8,82,6,1,C,13,16,18,17,9,D
3204,87178,87179,18-30,Male,Advanced,16,13,18,81,86,92,14,5,2,C,15,19,20,9,9,D
3206,13242,13243,18-30,Male,Advanced,10,12,8,64,71,82,99,3,1,A,10,6,15,16,25,D
3209,90761,90762,18-30,Male,Advanced,18,24,19,58,16,99,77,1,3,B,12,4,14,9,25,D
3210,96841,96842,18-30,Male,Advanced,5,22,10,96,41,13,25,1,3,C,3,19,20,13,19,D
3211,95842,95843,18-30,Male,Advanced,18,6,4,56,90,75,2,9,1,C,15,11,24,6,21,R
3216,87101,87102,18-30,Male,Advanced,0,18,4,43,79,99,37,4,4,A,10,35,1,0,1,D
3218,3020,3021,18-30,Male,Advanced,0,8,15,31,89,38,22,3,4,B,16,7,10,10,25,D
3227,8583,8584,18-30,Male,Advanced,7,30,19,36,90,9,43,1,4,B,5,8,10,9,20,R
3248,417,418,18-30,Male,Advanced,12,2,14,3,22,57,6,0,3,B,3,6,23,0,2,D
3251,13120,13121,18-30,Male,Advanced,1,27,18,56,49,11,9,6,1,C,16,9,7,6,20,R
3255,85982,85983,18-30,Male,Advanced,2,11,15,12,15,96,51,6,4,A,12,5,9,2,8,R
3263,96827,96828,18-30,Male,Advanced,5,8,11,16,2,83,71,3,4,A,10,27,2,18,24,R
3277,99962,99963,18-30,Male,Advanced,6,8,12,10,69,48,69,1,4,B,2,19,10,3,25,D
3284,98109,98110,18-30,Male,Advanced,1,14,8,84,54,7,15,10,4,B,16,14,0,1,5,D
3292,13454,13455,18-30,Male,Advanced,2,1,4,64,58,8,54,10,3,C,3,24,5,7,28,R
3301,4588,4589,18-30,Male,Advanced,11,16,1,70,15,44,12,1,2,B,7,13,6,7,21,R
3303,3548,3549,18-30,Male,Advanced,13,21,8,24,73,88,32,6,1,B,6,31,21,9,17,R
3304,92210,92211,18-30,Male,Advanced,1,7,12,79,24,54,5,6,1,C,17,14,20,16,17,D
3308,86966,86967,18-30,Male,Advanced,20,25,10,69,45,17,70,10,0,B,1,10,3,14,0,D
3309,3041,3042,18-30,Male,Advanced,5,28,4,90,60,25,91,5,1,C,7,26,24,1,15,R
3311,92114,92115,18-30,Male,Advanced,17,1,20,34,94,79,79,6,0,C,14,9,6,7,20,D
3321,97966,97967,18-30,Male,Advanced,9,23,7,77,26,7,36,4,3,B,3,17,14,8,6,R
